"kind","id","title","hru","url","category","Wikipedia"
2,5708,"Только секс","tolko_seks","http://www.ivi.ru/watch/tolko_seks",,
2,1199273,"Бункер News","bunker_news","http://www.ivi.ru/watch/bunker_news",,
2,780596,"Алекс в море","aleks_v_more","http://www.ivi.ru/watch/aleks_v_more",,
2,711858,"Северный ветер","severnyi_veter","http://www.ivi.ru/watch/severnyi_veter",,
2,617069,"Ловушка","lovushka","http://www.ivi.ru/watch/lovushka",,
2,1152713,"Джейн Доу","dzheyn_dou","http://www.ivi.ru/watch/dzheyn_dou",,
2,610298,"Охотники за караванами","ohotniki_za_karavanami","http://www.ivi.ru/watch/ohotniki_za_karavanami",,
2,522057,"Горыныч и Виктория","gorynych_i_viktoria","http://www.ivi.ru/watch/gorynych_i_viktoria",,
2,1119090,"Наследницы 2","naslednitsy_2","http://www.ivi.ru/watch/naslednitsy_2",,
2,630953,"Городской романс. Расплата за грехи","gorodskoy_romans_rasplata_za_grehi","http://www.ivi.ru/watch/gorodskoy_romans_rasplata_za_grehi",,
2,821672,"Тайны Чингисхана","tayny_chingishana","http://www.ivi.ru/watch/tayny_chingishana",,
2,977407,"Мудрость Гномов","mudrost_gnomov","http://www.ivi.ru/watch/mudrost_gnomov",,
2,766294,"Маленький Рыжик","malenkiy_ryzhik","http://www.ivi.ru/watch/malenkiy_ryzhik",,
2,821030,"Дикая природа в объективе","dikaya_priroda_v_obyektive","http://www.ivi.ru/watch/dikaya_priroda_v_obyektive",,
2,801161,"По секрету всему свету (2006)","po_sekretu_vsemu_svetu_2006","http://www.ivi.ru/watch/po_sekretu_vsemu_svetu_2006",,
2,1305809,"В стране Бобберов","v_strane_bobberov","http://www.ivi.ru/watch/v_strane_bobberov",,
2,610293,"Капля света","kaplya_sveta","http://www.ivi.ru/watch/kaplya_sveta",,
2,821034,"Этот безумный мир","etot_bezumnyi_mir","http://www.ivi.ru/watch/etot_bezumnyi_mir",,
2,281871,"О тебе","o_tebe","http://www.ivi.ru/watch/o_tebe",,
2,185315,"Галапагосы","galapagosy","http://www.ivi.ru/watch/galapagosy",,
2,1038203,"Цепь","tsep","http://www.ivi.ru/watch/tsep",,
2,185320,"Жизнь в микромире","zhizn_v_mikromire","http://www.ivi.ru/watch/zhizn_v_mikromire",,
2,522088,"Я тебя люблю","ya_tebya_lublu","http://www.ivi.ru/watch/ya_tebya_lublu",,
2,1225913,"Золото скифов","zoloto_skifov","http://www.ivi.ru/watch/zoloto_skifov",,
2,1225984,"Неизвестная Африка","neizvestnaya_afrika","http://www.ivi.ru/watch/neizvestnaya_afrika",,
2,495551,"Смешарики","smeshariki","http://www.ivi.ru/watch/smeshariki",,
2,1119096,"Любовь на асфальте","lubov_na_asfalte","http://www.ivi.ru/watch/lubov_na_asfalte",,
2,814542,"Путешествие альбатроса (Морская птица)","puteshestvie_albatrosa","http://www.ivi.ru/watch/puteshestvie_albatrosa",,
2,387125,"Председатель","predsedatel","http://www.ivi.ru/watch/predsedatel",,
2,387129,"Свеаборг","sveaborg","http://www.ivi.ru/watch/sveaborg",,
2,522068,"Под крышами большого города","pod_kryshami_bolshogo_goroda","http://www.ivi.ru/watch/pod_kryshami_bolshogo_goroda",,
2,1199339,"Приключения Дэна Крикшэнка в мире архитектуры","priklucheniya_dena_krikshenka","http://www.ivi.ru/watch/priklucheniya_dena_krikshenka",,
2,739206,"Родные люди","rodnye_ludi","http://www.ivi.ru/watch/rodnye_ludi",,
2,1118930,"Синдром Феникса","sindrom_feniksa","http://www.ivi.ru/watch/sindrom_feniksa",,
2,185293,"Океаны","okeany","http://www.ivi.ru/watch/okeany",,
2,5646,"Дорожные войны","dorozhnye_voyny","http://www.ivi.ru/watch/dorozhnye_voyny",,
